date,ticker,close_usd
2026-07-01,MARA,13.37
2026-07-01,CLSK,13.62
2026-07-01,RIOT,23.96
2026-07-01,IREN,43.32
2026-07-01,BTDR,15.44
2026-07-01,CORZ,23.71
2026-07-01,HIVE,3.46
2026-07-01,WULF,23.58
2026-07-01,CIFR,22.84
2026-07-01,HUT,105.79
2026-07-01,CANG,2.10
2026-07-01,ABTC,9.36
2026-07-01,CAN,0.29
2026-07-02,MARA,12.40
2026-07-02,CLSK,12.62
2026-07-02,RIOT,22.11
2026-07-02,IREN,38.82
2026-07-02,BTDR,13.85
2026-07-02,CORZ,21.43
2026-07-02,HIVE,3.24
2026-07-02,WULF,21.18
2026-07-02,CIFR,20.04
2026-07-02,HUT,97.14
2026-07-02,CANG,2.10
2026-07-02,ABTC,8.43
2026-07-02,CAN,0.28
2026-07-06,MARA,12.95
2026-07-06,CLSK,13.51
2026-07-06,RIOT,22.87
2026-07-06,IREN,43.91
2026-07-06,BTDR,14.25
2026-07-06,CORZ,22.80
2026-07-06,HIVE,3.38
2026-07-06,WULF,22.21
2026-07-06,CIFR,21.73
2026-07-06,HUT,103.78
2026-07-06,CANG,2.30
2026-07-06,ABTC,8.49
2026-07-06,CAN,0.29
2026-07-07,MARA,12.05
2026-07-07,CLSK,12.48
2026-07-07,RIOT,21.17
2026-07-07,IREN,39.81
2026-07-07,BTDR,12.88
2026-07-07,CORZ,21.54
2026-07-07,HIVE,3.18
2026-07-07,WULF,20.24
2026-07-07,CIFR,20.47
2026-07-07,HUT,96.74
2026-07-07,CANG,2.30
2026-07-07,ABTC,6.52
2026-07-07,CAN,0.27
2026-07-08,MARA,12.02
2026-07-08,CLSK,12.40
2026-07-08,RIOT,21.09
2026-07-08,IREN,43.01
2026-07-08,BTDR,12.56
2026-07-08,CORZ,23.50
2026-07-08,HIVE,3.24
2026-07-08,WULF,22.83
2026-07-08,CIFR,21.85
2026-07-08,HUT,106.11
2026-07-08,CANG,2.20
2026-07-08,ABTC,5.86
2026-07-08,CAN,0.34
