date,ticker,company,hashrate_ehs
2026-08-22,IREN,IREN Limited,36.0
2026-08-22,ABTC,American Bitcoin Corp,25.0
2026-08-22,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-22,CANG,Cango Inc.,23.32
2026-08-22,CORZ,"Core Scientific, Inc.",15.7
2026-08-22,KEEL,Keel Infrastructure Corp.,14.8
2026-08-22,CIFR,Cipher Mining Inc.,11.6
2026-08-22,CAN,Canaan Inc.,10.05
2026-08-22,WULF,TeraWulf Inc.,5.6
2026-08-22,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-22,FUFU,BitFuFu Inc.,3.6
2026-08-22,NIPG,NIP Group Inc.,3.11
2026-08-22,HUT,Hut 8 Corp.,1.8
2026-08-22,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-22,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-22,ANY,Sphere 3D Corp.,1.0
2026-08-22,LMFA,"LM Funding America, Inc.",0.79
2026-08-22,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-22,SOS,SOS Limited,0.527
2026-08-22,SATO.V,SATO Technologies Corp.,0.41
2026-08-22,AVX,Avax One Technology Ltd,0.3
2026-08-22,CSTR.V,CryptoStar Corp.,0.021
2026-08-23,BTDR,Bitdeer Technologies Group,73.0
2026-08-23,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-23,CLSK,"CleanSpark, Inc.",38.6
2026-08-23,RIOT,"Riot Platforms, Inc.",37.2
2026-08-23,IREN,IREN Limited,36.0
2026-08-23,ABTC,American Bitcoin Corp,25.0
2026-08-23,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-23,CANG,Cango Inc.,23.32
2026-08-23,CORZ,"Core Scientific, Inc.",15.7
2026-08-23,KEEL,Keel Infrastructure Corp.,14.8
2026-08-23,CIFR,Cipher Mining Inc.,11.6
2026-08-23,CAN,Canaan Inc.,10.05
2026-08-23,WULF,TeraWulf Inc.,5.6
2026-08-23,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-23,FUFU,BitFuFu Inc.,3.6
2026-08-23,NIPG,NIP Group Inc.,3.11
2026-08-23,HUT,Hut 8 Corp.,1.8
2026-08-23,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-23,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-23,ANY,Sphere 3D Corp.,1.0
2026-08-23,LMFA,"LM Funding America, Inc.",0.79
2026-08-23,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-23,SOS,SOS Limited,0.527
2026-08-23,SATO.V,SATO Technologies Corp.,0.41
2026-08-23,AVX,Avax One Technology Ltd,0.3
2026-08-23,CSTR.V,CryptoStar Corp.,0.021
2026-08-24,BTDR,Bitdeer Technologies Group,73.0
2026-08-24,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-24,CLSK,"CleanSpark, Inc.",38.6
2026-08-24,RIOT,"Riot Platforms, Inc.",37.2
2026-08-24,IREN,IREN Limited,36.0
2026-08-24,ABTC,American Bitcoin Corp,25.0
2026-08-24,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-24,CANG,Cango Inc.,23.32
2026-08-24,CORZ,"Core Scientific, Inc.",15.7
2026-08-24,KEEL,Keel Infrastructure Corp.,14.8
2026-08-24,CIFR,Cipher Mining Inc.,11.6
2026-08-24,CAN,Canaan Inc.,10.05
2026-08-24,WULF,TeraWulf Inc.,5.6
2026-08-24,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-24,FUFU,BitFuFu Inc.,3.6
2026-08-24,NIPG,NIP Group Inc.,3.11
2026-08-24,HUT,Hut 8 Corp.,1.8
2026-08-24,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-24,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-24,ANY,Sphere 3D Corp.,1.0
2026-08-24,LMFA,"LM Funding America, Inc.",0.79
2026-08-24,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-24,SOS,SOS Limited,0.527
2026-08-24,SATO.V,SATO Technologies Corp.,0.41
2026-08-24,AVX,Avax One Technology Ltd,0.3
2026-08-24,CSTR.V,CryptoStar Corp.,0.021
2026-08-25,BTDR,Bitdeer Technologies Group,73.0
2026-08-25,MARA,"Marathon Digital Holdings, Inc.",70.3
2026-08-25,CLSK,"CleanSpark, Inc.",38.6
2026-08-25,RIOT,"Riot Platforms, Inc.",37.2
2026-08-25,IREN,IREN Limited,36.0
2026-08-25,ABTC,American Bitcoin Corp,25.0
2026-08-25,HIVE,HIVE Digital Technologies Ltd.,23.59
2026-08-25,CANG,Cango Inc.,23.32
2026-08-25,CORZ,"Core Scientific, Inc.",15.7
2026-08-25,KEEL,Keel Infrastructure Corp.,14.8
2026-08-25,CIFR,Cipher Mining Inc.,11.6
2026-08-25,CAN,Canaan Inc.,10.05
2026-08-25,WULF,TeraWulf Inc.,5.6
2026-08-25,BGDE,"Big Digital Energy, Inc.",4.98
2026-08-25,FUFU,BitFuFu Inc.,3.6
2026-08-25,NIPG,NIP Group Inc.,3.11
2026-08-25,HUT,Hut 8 Corp.,1.8
2026-08-25,DMGI.V,DMG Blockchain Solutions Inc.,1.52
2026-08-25,VIP,Vulcan Infrastructure and Power Inc. Class A,1.0
2026-08-25,ANY,Sphere 3D Corp.,1.0
2026-08-25,LMFA,"LM Funding America, Inc.",0.79
2026-08-25,SLNH,"Soluna Holdings, Inc.",0.54
2026-08-25,SOS,SOS Limited,0.527
2026-08-25,SATO.V,SATO Technologies Corp.,0.41
2026-08-25,AVX,Avax One Technology Ltd,0.3
2026-08-25,CSTR.V,CryptoStar Corp.,0.021
